product_id,category,product_name,unit_price_usd
357,Salud,Mascarillas KN95 (Pack x5),4.5
407,Salud,Vitaminas C 1000mg (60 caps),6.75
88,Salud,Ibuprofeno 400mg (Caja x20),2.5
207,Salud,Suero Oral Sabor Naranja,1.1
813,Salud,Oxímetro de Pulso Digital,15.99
517,Salud,Crema Analgésica Muscular,3.25
265,Salud,Antigripal Noche (Jarabe),5.6
0,Hogar,Silla de Oficina Ergonómica,129.9
70,Hogar,Mesa Plegable Multiusos,64.5
657,Hogar,Lámpara LED Escritorio,22.3
483,Hogar,Almohada Viscoelástica,18.75
726,Hogar,Set de Ollas Acero Inoxidable,149.0
432,Hogar,Juego de Sábanas Matrimoniales,34.9
351,Hogar,Ventilador de Pie 18'',59.99
1,Hogar,Cortinas Blackout,27.8
683,Hogar,Aspiradora Compacta,85.0
821,Hogar,Estante Organizador de Plástico,25.4
598,Juguetes,Peluche Gigante Panda,29.99
399,Juguetes,Rompecabezas 1000 piezas,13.9
535,Juguetes,Juego de Memoria Infantil,7.6
179,Juguetes,Muñeca Articulada,19.5
80,Juguetes,Set de Plastilina Didáctica,6.75
93,Juguetes,Carro de Control Remoto,42.0
43,Juguetes,Dinosaurio Electrónico,33.3
448,Juguetes,Ajedrez Magnético de Viaje,11.25
239,Juguetes,Jenga de Madera,8.5
438,Juguetes,Pistola de Agua a Presión,9.9
126,Tecnología,Cámara de Seguridad WiFi,69.99
55,Tecnología,Mini Proyector LED,139.0
562,Tecnología,Fuente de Poder ATX 600W,52.0
318,Tecnología,Tarjeta de Video NVIDIA GTX,279.99
624,Tecnología,Placa Madre ASUS AM4,124.9
182,Tecnología,Hub USB 3.0 4 Puertos,18.4
637,Tecnología,Disco SSD M.2 1TB,109.0
388,Tecnología,Switch de Red 8 Puertos,32.9
152,Tecnología,Antena WiFi USB,14.2
48,Tecnología,Lector de Tarjetas SD/MicroSD,7.9
626,Alimentos,Pan Integral Artesanal,2.2
122,Alimentos,Chocolate Oscuro 70% Cacao,3.1
168,Alimentos,Atún en Aceite 170g,2.35
533,Alimentos,Mermelada de Fresa Light,2.9
723,Alimentos,Agua Mineral con Gas 1L,1.25
439,Alimentos,Galletas Integrales (Pack x4),1.95
24,Alimentos,Mix de Frutos Secos 200g,3.99
292,Alimentos,Barritas de Granola (Pack x3),2.8
830,Alimentos,Salsa de Tomate Casera 300g,2.5
340,Alimentos,Huevos Orgánicos (Docena),4.6
612,Ropa,Buzo Deportivo Unisex,24.9
512,Ropa,Gorro de Lana,6.4
689,Ropa,Chaleco Acolchado Hombre,39.95
485,Ropa,Blusa Casual Mujer,18.2
111,Ropa,Zapatillas Deportivas,49.99
520,Ropa,Short de Algodón Hombre,13.9
249,Ropa,Bufanda Tejida,8.3
56,Ropa,Traje de Baño Mujer,21.75
201,Ropa,Correa de Cuero,10.8
505,Ropa,Polo Tipo Piqué,14.5
322,Salud,Aspirina 500mg (Caja x20),2.4
497,Salud,Jarabe para la Tos Infantil,4.99
669,Salud,Antiséptico Bucal 250ml,2.8
552,Salud,Gel Antibacterial Bolsillo,1.5
197,Salud,Multivitamínico Complejo B,7.2
744,Salud,Protector Solar SPF50,9.5
682,Salud,Vendas Elásticas (par),3.25
215,Salud,Inhalador Nasal Descongestionante,2.1
190,Salud,Crema Antiséptica,1.9
523,Salud,Termómetro Infrarrojo,18.99
161,Juguetes,Set de Bloques de Construcción,21.5
710,Juguetes,Pelota Antiestrés,3.99
402,Juguetes,Lanza Burbujas Eléctrico,12.25
62,Juguetes,Camión de Juguete con Volteo,15.75
401,Juguetes,Juego de Cartas UNO,6.9
186,Juguetes,Títere de Mano Animalito,5.25
298,Juguetes,Triciclo para Niños,49.0
470,Juguetes,Cubo Rubik 3x3,4.5
370,Juguetes,Kit de Experimentos para Niños,29.99
63,Juguetes,Set Cocina Infantil,27.8
81,Hogar,Set de Toallas (3 piezas),19.99
511,Hogar,Reloj de Pared Moderno,13.4
841,Hogar,Basurero de Cocina con Tapa,16.5
501,Hogar,Dispensador de Jabón Automático,22.9
54,Hogar,Calefactor Eléctrico Portátil,44.95
553,Hogar,Rejilla para Platos Acero Inox,26.3
294,Hogar,Set de Utensilios de Cocina Silicona,18.75
645,Hogar,Espejo de Baño Redondo,32.0
450,Hogar,Humidificador Ultrasónico,35.8
221,Hogar,Organizador de Zapatos Bajo Cama,11.9
128,Tecnología,Cámara Deportiva 4K,98.0
178,Tecnología,Router WiFi Doble Banda,59.99
596,Tecnología,Memoria USB 128GB,18.9
719,Tecnología,Tarjeta SD 64GB Clase 10,14.2
703,Tecnología,Audífonos Inalámbricos Tipo AirPods,38.9
763,Tecnología,Lámpara LED con Carga Inalámbrica,27.5
241,Tecnología,Soporte Celular para Auto,12.3
627,Tecnología,Power Bank 10000mAh,21.9
261,Tecnología,Cargador para Laptop Universal,29.99
572,Tecnología,Adaptador USB-C a HDMI,16.0
795,Alimentos,Gaseosa Cola 2L,1.8
196,Alimentos,Helado de Vainilla 1L,3.25
742,Alimentos,Miel de Abeja Natural 250ml,4.8
121,Alimentos,Empanadas Congeladas (Pack x4),5.6
699,Alimentos,Hamburguesas de Soya (Pack x2),3.1
155,Alimentos,Enlatado de Maíz Dulce 300g,1.45
270,Alimentos,Taza de Frutas Picadas,2.7
202,Alimentos,Té Verde Natural (Caja x25),2.5
837,Alimentos,Agua de Coco Orgánica 500ml,2.1
424,Alimentos,Sal Rosada del Himalaya 250g,3.9
37,Ropa,Camiseta Técnica Deportiva,17.9
286,Ropa,Jeans Slim Fit Hombre,29.99
21,Ropa,Vestido Casual Estampado,24.5
608,Ropa,Chompa de Lana Mujer,31.8
375,Ropa,Ropa Interior Térmica (Pack x2),12.4
492,Ropa,Camiseta sin Mangas Hombre,9.99
453,Ropa,Chaqueta Deportiva Unisex,38.75
502,Ropa,Camisa de Lino Manga Corta,22.6
653,Ropa,Top Deportivo Mujer,14.3
303,Ropa,Calcetines Largos (Pack x5),7.9
471,Tecnología,Mouse Inalámbrico Reclinable,19.99
594,Tecnología,Webcam 4K con Micrófono,84.0
729,Tecnología,Disco SSD NVMe 2TB,159.0
91,Tecnología,"Monitor 32"" UHD",329.0
519,Tecnología,Cargador Múltiple de Escritorio,36.5
477,Tecnología,Extensor de Pantalla USB-C,29.4
609,Tecnología,Base Refrigerante para Laptop,23.1
493,Tecnología,Caja Protectora de Disco Duro,12.75
640,Tecnología,Lentes de Realidad Virtual Básicos,49.9
543,Tecnología,Luces LED RGB para Monitor,15.0
690,Alimentos,Verduras Congeladas (Mix 500g),2.99
367,Alimentos,Pizzas Mini Congeladas (Pack x2),4.2
848,Alimentos,Brownies Artesanales (Pack x4),3.9
800,Alimentos,Cacao en Polvo Orgánico 200g,6.75
160,Alimentos,Pan de Ajo Congelado (Pack x3),2.5
664,Alimentos,Nuggets de Pollo 500g,4.6
379,Alimentos,Bebida de Almendras 1L,3.1
660,Alimentos,Salsa Pesto con Albahaca,2.95
181,Alimentos,Papas Fritas Congeladas 1kg,3.2
542,Alimentos,Ensalada de Atún Lista para Comer,3.8
711,Salud,Kit de Higiene Bucal (Cepillo+Pasta),4.7
325,Salud,Bálsamo Labial Hidratante,1.2
86,Salud,Kit de Curación Básico,6.99
544,Salud,Tapones para Oídos Reutilizables,2.5
164,Salud,Crema para Rozaduras,3.3
697,Salud,Tiras Reactivas de Glucosa (Caja x50),11.4
411,Salud,Spray Descongestionante Nasal,3.9
427,Salud,Protector de Espalda para Postura,17.9
815,Salud,Test de Embarazo (Pack x2),2.75
380,Salud,Alcohol en Gel con Aloe Vera 500ml,3.1
713,Juguetes,Avión de Espuma Lanzable,5.25
449,Juguetes,Marioneta de Tela,4.1
490,Juguetes,Tablero Magnético para Dibujar,14.2
36,Juguetes,Kit de Pintura Infantil,11.6
488,Juguetes,Globo Terráqueo Interactivo,28.0
704,Juguetes,Rueda Giratoria Didáctica,7.4
840,Juguetes,Tren de Madera con Pistas,26.9
385,Juguetes,Pistola de Lanzabolas Espuma,8.3
589,Juguetes,Marioneta Animal de Tela,5.5
732,Juguetes,Puzzle Didáctico Abecedario,9.9
693,Hogar,Tendedero de Ropa Plegable,29.5
790,Hogar,Hervidor Eléctrico Acero Inox,35.8
415,Hogar,Cafetera Italiana 6 Tazas,24.9
285,Hogar,Bandeja para Horno Antiadherente,11.7
406,Hogar,Cesta para Ropa Sucia,16.2
413,Hogar,Portacepillos de Baño,7.5
369,Hogar,Kit de Herramientas Básico,39.99
255,Hogar,Caja Organizadora Plástica,8.9
306,Hogar,Cuchillos de Cocina (Set x5),21.3
13,Hogar,Alfombra de Entrada Antideslizante,14.8
414,Tecnología,Mini PC Stick HDMI,110.0
200,Tecnología,Luz LED Inteligente WiFi,22.99
227,Tecnología,Estabilizador de Voltaje,34.2
212,Tecnología,Tableta Gráfica Digital,74.9
507,Tecnología,Ventilador USB para Laptop,8.7
104,Tecnología,Reloj Digital con Carga USB,26.4
503,Tecnología,Soporte para Monitor Doble,49.99
733,Tecnología,Adaptador Ethernet USB-C,19.2
236,Tecnología,Timbre Inteligente con Cámara,89.0
25,Tecnología,Despertador con Luz Simulador de Sol,32.5
328,Ropa,Chaqueta de Cuero Sintético,54.9
630,Ropa,Pantalón Jogger Deportivo,27.0
180,Ropa,Body para Mujer Manga Larga,21.6
418,Ropa,Camisón de Algodón,18.3
412,Ropa,Chompa Cierre Completo Hombre,33.7
185,Ropa,Calcetas Invisibles (Pack x3),4.9
754,Ropa,Chompa Oversize Mujer,29.8
127,Ropa,Polo Manga Corta Estampado,13.75
817,Ropa,Blazer Casual Unisex,44.9
169,Ropa,Boxer Deportivo (Pack x2),8.5
113,Juguetes,Lanza Pelotas para Mascotas,13.9
454,Juguetes,Patineta Infantil,41.0
835,Juguetes,Lámpara Proyector Estrellas,18.8
347,Juguetes,Marioneta Dedos (Set x5),6.4
515,Juguetes,Set Médico Infantil con Maletín,25.2
720,Juguetes,Pizarra Magnética 2 en 1,28.5
339,Juguetes,Juego de Pesca Magnética,10.5
171,Juguetes,Avión Solar Didáctico,19.75
244,Juguetes,Estuche de Pintura 60 piezas,14.9
319,Juguetes,Pista de Autos Flexible,22.6
302,Alimentos,Galletas de Chocolate Sin Azúcar,2.6
384,Alimentos,Salsa de Soja Baja en Sodio,1.9
304,Alimentos,Té de Hierbas Digestivo (Caja x20),2.2
455,Alimentos,Snacks de Arroz Inflado (Pack x4),2.99
694,Alimentos,Crema de Verduras Instantánea,1.8
532,Alimentos,Barrita Energética Vegana,1.7
538,Alimentos,Avena Instantánea Sabor Vainilla,2.3
146,Alimentos,Pan de Molde Integral x12 Tajadas,2.1
363,Alimentos,Mermelada Sin Azúcar de Mora,3.4
489,Alimentos,Chía Orgánica 250g,4.2
